0,1,2,3,4
98.47,0.0,0.0,0.0,0.0
98.06,98.78,0.0,0.0,0.0
94.96,98.35,98.94,0.0,0.0
95.24,97.28,98.5,98.52,0.0
95.21,96.15,97.46,98.4,98.8
