0,1,2,3,4
98.61,0.0,0.0,0.0,0.0
97.85,98.24,0.0,0.0,0.0
96.47,98.53,97.76,0.0,0.0
81.11,90.25,96.74,97.66,0.0
78.26,86.95,94.02,95.94,95.91
