Benchmark,Method,ACC,BWT,FWT
basic,baseline,63.42,-60.8,0.0
basic,replay,92.535,-2.3599999999999994,0.0
basic,ewc,85.16,-15.279999999999989,0.0
permuted,baseline,41.86,-66.9575,0.0
permuted,replay,91.524,-4.6875,0.0
permuted,ewc,74.982,-19.244999999999997,0.0
rotated,baseline,76.35,-28.08,0.0
rotated,replay,97.204,-1.8724999999999987,0.0
rotated,ewc,90.216,-9.275,0.0
