0,1,2,3,4
94.74,0.0,0.0,0.0,0.0
39.67,95.43,0.0,0.0,0.0
12.49,33.83,94.9,0.0,0.0
21.33,27.55,42.08,95.28,0.0
20.67,18.06,30.61,63.69,95.4
